순,검체명,동물명,Hg,As,Cd,Pb,Al,Ba,U,Bi,Ni,Ti,Cs,Sb,Ca,Mg,Na,K,Cu,Zn,P,Fe,Mn,Cr,Se,Co,Li,V,Mo,B,Ca_Mg,Ca_P,Na_K,Zn_Cu,Na_Mg,Ca_K,종,품종,나이,성별,몸무게,BCS,피부건강,관절건강,심장건강,눈건강,호흡기건강,구강건강,소화기건강,비뇨생식기건강,뇌신경건강,호르몬건강,보호자관찰내용1,보호자관찰내용2,보호자관찰내용3,보호자관찰내용4,보호자관찰내용5,보호자관찰내용6,보호자관찰내용7,보호자관찰내용8,보호자관찰내용9,보호자관찰내용10,수의사소견및진단명1,수의사소견및진단명2,수의사소견및진단명3,수의사소견및진단명4,수의사소견및진단명5,수의사소견및진단명6,수의사소견및진단명7,수의사소견및진단명8,수의사소견및진단명9,수의사소견및진단명10,질병명1,질병명2,질병명3,질병명4,질병명5,질병명6,질병명7,질병명8,질병명9,질병명10,카테고리1,카테고리2,카테고리3,카테고리4,카테고리5,카테고리6,카테고리7,카테고리8,카테고리9,카테고리10,혈액검사일,Purpose_of_visit,Record,Glucose,BUN,Creatinine,BUN/CREratio,ALP,ALT,T_protein,Albumin,Globulin,A/G ratio,T_bilirubin,GGT,T_cholesterol,Phosphorus,Calcium[Ca++],Amylase,Lipase(Dry),Lipase,AST/GOT,ALT/GPT,TG,RBC,HCT,HGB,MCV,MCH,MCHC,RDW-CV,#RETIC,%RETIC,RETHGB,WBC,%NEU,%LYM,%MON,EO(%),%BASO,%GRA,#NEU,#LYM,#MON,EO(#),#BASO,#GRA,PLT,MPV,PDW,THT,cPL,Na+,K+,Ca++,Cl-,pH,PCO2,PO2,HCO3-,BEecf(Ven),tCO2,ANION GAP,SO2,stO2,Hct(Ven),CRP,UPC,Urine protein,Urine Creatinine,pH(U),SDMA,Na/K,새카테고리1,새카테고리2,새카테고리3,새카테고리4,새카테고리5,새카테고리6,새카테고리7,새카테고리8,새카테고리9,새카테고리10
13,V0806_14,코코,0.325,0.04,0.002,1.652,13.553,0.533,0.003,0.012,0.277,0.004,0.004,0.074,142.635,21.554,112.802,65.135,35.962,183.455,200.162,27.077,0.301,0.207,0.688,0.013,0.022,0.045,0.075,0.852,6.617565185,0.712597796,1.731818531,5.101356988,5.233460147,2.189836493,개,비숑프리제,11,MC,5.3,3,4,1,5,5,5,3,1,5,5,5,후지떨림,,,,,,,,,,hip dysplasia,B.MPV,,,,,,,,,b.mpv,고관절이형성증,,,,,,,,,정형질환,혈액,,,,,,,,,2021-07-28,우측 FHNO 슬개골탈구 수술,66,,,,,,,,,,,,,,,,,,,,,,6.68,47.5,15.6,71.1,23.4,32.8,15.9,64.8,1,,8.57,63.6,24,10.3,1.5,0.6,,5.45,2.06,0.88,0.13,0.05,,417,11.4,10.5,0.48,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
14,V0806_15,골드,0.14,0.047,0.003,0.4,27.542,1.457,0.002,0.072,0.204,0.002,0.005,0.041,271.14,77.785,2151.883,181.932,15.579,203.4,239.604,55.386,0.854,0.309,0.468,0.027,0.039,0.078,0.086,0.704,3.485762036,1.131617168,11.8279522,13.05603697,27.6644983,1.490337049,개,푸들,11,MC,5.7,3,4,5,4,4,5,5,5,5,5,5,치석 구취 심함,IVDD 관리 이력 있음 (침치료,내복약),,,,,,,,치석 Index 3,치주염 소견 있음,안검 종괴,피부 종괴 다수,현재 back pain 없음,,,,,,치주질환,피부종괴,안검종괴,,,,,,,,피부질환,안과질환,치아질환,,,,,,,,2021-07-28,치과상담/안검종괴/마취전검사/예방진료,15,79,12.4,0.73,16.98,23,34,6.9,3.6,3.3,1.09,,,,,,,,,,,,7.45,49.7,16.9,66.7,22.7,34,19.2,82.7,1.1,,6.61,63.9,25.9,6.1,3.8,0.3,,4.23,1.71,0.4,0.25,0.02,,263,14.3,16.5,0.38,,153,4.31,1.3,120,7.4,30.9,40,19,-4.9,16.6,17.6,75.6,15.7,46,,,,,,9,,기타,,,,,,,,,
15,V0806_16,임구름,0.088,0.113,0.002,0.189,10.278,0.37,0.043,0.013,0.311,0.002,0.006,0.099,184.751,36.86,1448.773,715.755,13.567,195.782,349.742,18.08,0.277,0.163,0.868,0.009,0.033,0.027,0.07,4.256,5.012235486,0.528249395,2.024118588,14.43075109,39.30474769,0.258120446,개,말티즈,7,FS,4.5,3,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,multicentric lymphoma,,,,,,,,,,림프종,,,,,,,,,,종양,,,,,,,,,,2021-07-27,항암보류,204,,,,,,,,,,,,,,,,,,,,,,7.22,43.9,16.1,60.8,22.3,36.7,21,195.7,2.7,,3.74,20.6,41.4,36.9,0.8,0.3,,0.77,1.55,1.38,0.03,0.01,,377,15.6,21.1,0.59,,,,,,,,,,,,,,,,,,,,,,,종양,,,,,,,,,
16,V0806_17,하나,0.086,0.047,0.02,0.485,9.369,0.564,0.003,0.006,0.631,0.003,0.005,0.077,531.865,128.122,2787.232,1774.393,15.893,181.478,733.744,25.2,0.503,0.941,1.095,0.048,1.206,0.057,0.146,1.36,4.151238663,0.72486453,1.570808722,11.41873781,21.75451523,0.299744758,개,말티즈,3,F,1.8,1,3,3,5,5,5,3,3,2,2,5,발열,교통사고,,,,,,,,,교통사고로 골반골절,발가락 외상,전신염증,,,,,,,,골반골절,발가락외상,염증,,,,,,,,정형질환,혈액,정형질환,,,,,,,,2021-07-28,HBC 재진,103,,,,,,,,,,,,,,,,,,,,,,3.46,24.9,8.3,72,24,33.3,19.2,236.3,6.8,,31.4,63.5,25.7,8.1,2.7,0,,19.92,8.08,2.54,0.85,0.01,,581,14,15.1,0.81,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
17,V0806_18,루키,0.031,0.038,0.006,0.113,5.687,0.355,0.001,0.019,0.275,0.002,0.003,0.031,475.233,56.779,1072.142,151.572,13.608,175.426,210.867,13.885,0.257,0.2,0.773,0.008,0.013,0.02,0.022,0.728,8.369872664,2.253709684,7.073483229,12.89138742,18.88272072,3.135361412,개,포메라니언,9,MC,3.6,3,5,5,5,5,2,5,5,5,5,5,거위소리 기침,,,,,,,,,,호기성 건성 기침,,,,,,,,,,호기성건성기침,,,,,,,,,,호흡기질환,,,,,,,,,,2021-07-27,초진(지정진료) - 기침,3,105,34,1.2,29,22,27,6.9,3.1,3.8,0.8,0.1,0,103,2.6,8.9,481,414,,23,,111,7.34,44.8,15.8,61,21.5,35.3,17.8,30.8,0.4,,9.48,71.2,17.9,3.9,6.2,0.8,,6.74,1.7,0.37,0.59,0.08,,323,13.5,15.1,0.44,50,156,4.2,1.37,123,7.34,25.5,45,13.3,-11.3,11.9,23.3,78.8,16,45,10,,,,,9,,기타,,,,,,,,,
18,V0806_19,김두부,0.095,0.148,0.01,0.438,26.246,1.322,0.005,0.022,0.214,0.005,0.005,0.122,249.179,39.047,1311.501,362.838,15.416,196.536,298.275,74.904,0.821,0.5,0.539,0.037,0.053,0.065,0.068,0.787,6.381514585,0.835400218,3.614563524,12.74883238,33.58775322,0.68675001,개,빠삐용,5,FS,2.9,3,5,3,5,5,4,5,5,5,5,5,,,,,,,,,,,Scaling,치주염,,,,,,,,,치주질환,,,,,,,,,,치아질환,,,,,,,,,,2021-07-27,스케일링,66,94,19.2,0.68,28.23,63,51,5.7,2.8,2.9,0.96,,,,,,,,,,,,7.67,52.4,18.5,68.3,24.1,35.3,15.1,23,0.3,,6.19,58.5,32.1,5.7,3.7,0,,3.62,1.99,0.35,0.23,0,,201,13.1,14.7,0.26,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
19,V0806_20,김마늘,0.084,0.116,0.012,0.407,24.111,1.018,0.003,0.015,0.155,0.004,0.006,0.148,250.855,29.465,1759.815,741.103,16.808,210.019,240.119,37.177,0.531,0.325,0.629,0.019,0.054,0.052,0.04,0.755,8.513660275,1.044711164,2.374588957,12.49518087,59.72560665,0.338488712,개,닥스훈트,4,FS,5,3,5,3,5,5,5,5,5,5,5,5,,,,,,,,,,,Scaling,치주염,,,,,,,,,치주질환,,,,,,,,,,치아질환,,,,,,,,,,2021-07-27,스케일링,66,84,15.4,0.82,18.78,35,62,6.3,2.9,3.4,0.85,,5,,,,,,,37,,,7.32,43.5,15.7,59.4,21.4,36.1,16.9,21.2,0.3,,6.3,51,35.2,7.5,6,0.3,,3.21,2.22,0.47,0.38,0.02,,210,13.4,13.8,0.28,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
20,V0806_21,코코,0.151,0.06,0.013,0.843,8.988,0.557,0.004,0.025,1.457,0.014,0.004,0.159,424.518,43.072,3211.68,1358.294,19.666,192.025,218.195,21.076,0.567,0.314,0.747,0.014,0.06,0.031,0.112,10.535,9.856008544,1.945589954,2.364495463,9.764314045,74.5653789,0.312537639,개,푸들,11,FS,2.9,3,5,4,5,3,5,5,5,5,5,5,Rt 앞다리 골절 이력,슬개골 탈구 수술 이력,안과 질환 주 호소,눈 불편해함,,,,,,,수정체 탈구,좌측 수정체 아탈구,양안 홍채 저형성증,ALP 상승,백내장,,,,,,수정체아탈구,간질환,홍체저형성증,백내장,,,,,,,간질환,안과질환,안과질환,안과질환,,,,,,,2021-07-31,수정체 탈구,15,91,19,0.5,39,451,70,6.8,3.8,3,1.3,,,,,,,,,,,,8.12,49.4,17.1,60.8,21.1,34.6,19.8,27.6,0.3,,6.09,69.7,20.5,5.7,3,1.1,,4.24,1.25,0.35,0.18,0.07,,305,12.7,10.9,0.39,,153,4.72,1.35,114,7.37,30.9,51,17.3,-7,14.9,26.8,85.4,19.6,50,,,,,,8,,간질환,,,,,,,,,
21,V0806_22,행복이,0.112,0.049,0.004,0.09,6.928,0.294,0.002,0.047,0.334,0.009,0.004,0.082,172.011,18.768,216.933,110.685,17.681,184.713,187.277,14.598,0.176,0.158,0.661,0.013,0.024,0.029,0.09,1.463,9.165121483,0.918484384,1.959913267,10.44697698,11.55866368,1.554058816,개,푸들,7,FS,3.75,3,5,5,5,5,5,5,5,3,5,5,구토,설사,,,,,,,,,퇴행성 관절질환,세균성 방광염,,,,,,,,,관절염,방광염,,,,,,,,,비뇨기질환,정형질환,,,,,,,,,2021-07-31,재검/혈검발송/FUCO-K,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,0.57,15,26,7,15,,기타,,,,,,,,,
22,V0806_23,다롱,0.081,0.035,0.114,0.526,17.36,2.987,0.004,0.017,0.476,0.012,0.008,0.212,3654.582,322.988,2168.413,2346.751,14.473,224.083,330.804,44.989,1.135,0.692,0.514,0.025,0.068,0.045,0.137,5.596,11.31491572,11.047575,0.924006424,15.4828301,6.713602363,1.557294319,개,푸들,12,F,4.47,4,3,5,5,3,5,5,5,5,5,2,,,,,,,,,,,당뇨,부신피질 기능 항진증,,,,,,,,,당뇨,부신피질기능항진증,,,,,,,,,호르몬질환,호르몬질환,,,,,,,,,2021-07-31,당뇨재진,170,346,17.4,0.47,37.02,157,30,,,,,,,221,,,,,,,,87,9.56,58.9,20.1,61.6,21,34.1,21.1,122.4,1.3,,8.63,62.9,27,7.5,2.5,0.1,,5.42,2.33,0.65,0.22,0.01,,243,15.8,,0.38,,,,,,,,,,,,,,,,,,,,,,,부신피질기능항진증,,,,,,,,,
23,V0806_24,홀리,0.031,0.026,0.003,0.077,3.535,0.437,0.001,0.013,0.166,0.007,0.005,0.07,547.879,67.102,3459.092,1631.344,15.553,189.405,392.084,9.568,0.173,0.184,0.843,0.005,0.036,0.014,0.067,2.663,8.164868409,1.397351078,2.120393982,12.17803639,51.54976007,0.335845168,개,말티즈,15,MC,2.9,2,3,2,2,2,3,3,3,4,4,3,요즘은 잘 지냄,,,,,,,,,,심부전,만성신부전,디스크,,,,,,,,심부전,신부전,디스크,,,,,,,,정형질환,심장질환,신장질환,,,,,,,,2021-07-31,"혈액검사(전해질, P)",4,,,,,,,,,,,,,,4.8,,,,,,,,4.98,29.5,10.8,59.2,21.7,36.6,16.1,89.1,1.8,,8.32,52.5,25.5,11.4,9.3,1.3,,4.37,2.12,0.95,0.77,0.11,,803,11.8,11.3,0.95,,141,4.78,1.17,107,7.42,35,69,22.2,-1.7,20.3,16.8,93.9,14.6,34,,,,,,,,신장질환,심장질환,,,,,,,,
24,V0806_25,티거,0.051,0.018,0.003,0.081,8.149,0.313,0.001,0.043,0.13,0.008,0.004,0.062,389.546,73.996,671.406,140.068,11.223,151.482,346.343,15.625,0.26,0.156,1.537,0.007,0.028,0.015,0.062,0.779,5.264419698,1.124740503,4.793428906,13.49746057,9.073544516,2.781120599,개,믹스,7,MC,4.4,4,5,5,5,5,5,5,5,5,5,5,최근에 교육때문에 살이 많이 쪘으나 근육도 많이 늘어났습니다,,,,,,,,,,건강함 (NRF),,,,,,,,,,건강함,,,,,,,,,,건강,,,,,,,,,,2021-07-31,모발검사(cbc),88,,,,,,,,,,,,,,,,,,,,,,6.88,44.2,16.2,64.2,23.5,36.7,18.4,20.6,0.3,,8.08,55.6,33.8,8.4,2,0.2,,4.49,2.73,0.68,0.16,0.02,,503,12.2,11.1,0.61,,,,,,,,,,,,,,,,,,,,,,,건강,,,,,,,,,
25,V0806_27,웅,0.35,0.051,0.012,0.207,11.535,0.526,0.004,0.031,0.36,0.007,0.004,0.161,266.806,26.491,224.998,107.224,21.917,226.554,226.137,18.561,0.164,0.294,0.518,0.008,0.031,0.049,0.089,1.208,10.07157148,1.179842308,2.098392151,10.33690742,8.493375109,2.488304857,개,말티즈,18,MC,18,1,2,3,3,3,3,3,3,3,2,3,원래 식욕이 좋지 않음,건강 상 큰 이상은 없음,주로 결막염 등 안과진료 위해 내원,,,,,,,,mild anemia,비재생성빈혈,,,,,,,,,빈혈,,,,,,,,,,혈액,,,,,,,,,,2021-07-24,안과재진,15,,,,,,,,,,,,,,,,,,,,,,5.98,36.8,13,61.5,21.7,35.3,17.3,26.9,0.5,,8.74,72.8,19.5,5.9,1.7,0.1,,6.36,1.7,0.52,0.15,0.01,,442,10.7,8.4,0.47,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
